"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","n_in_care_check","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","two_minus_place_gt24","three_plus_place_gt24","missing_gt24","n_in_care_g24","two_minus_place_len_miss","three_plus_place_len_missing","missing_len_missing","n_in_care_len_missing","two_minus_place_lt12","three_plus_place_lt12","missing_lt12","n_in_care_lt12","two_minus_place_lt24","three_plus_place_lt24","missing_lt24","n_in_care_lt24"
"Alabama",2017,57847,99,57517,4098,28,2.55,4916,11.8,0.3,9015,0.4,0.9,43.9,53.6,14.9,NA,0,0,1096577,24.6,31.7,68.3,0,2036,75,12.5,12.5,8,76.9,21.7,1.4,4852,52.2,47.5,0.3,2119
"Alabama",2018,63545,100,63239,4075,43,3.94,5486,11.1,0.17,9561,0.3,0.6,42.9,53.3,16.6,0,0,0,1092599,23.8,32,68,0,2226,80,20,0,5,78.2,20.5,1.4,4811,55.4,44.4,0.2,2519
"Alabama",2019,65497,100,65297,3985,34,3.12,5756,12,0.27,9741,0.2,0.7,39.8,54.8,17.7,0,0,0,1088727,21.4,32.1,67.9,0,2421,100,0,0,20,78.1,20.6,1.3,4788,57.4,42.5,0.1,2512
"Alabama",2020,54695,100,54500,3504,47,4.18,5671,12.6,0.32,9175,0.2,0.7,44,50.5,19.4,0,0,0,1124750,20.4,32.7,67.3,0,2508,86.7,13.3,0,15,78.1,20.9,1,4206,58.6,41.3,0.1,2446
"Alabama",2021,60858,100,60653,3631,36,3.21,5450,13.3,0.25,9081,0.2,0.7,43.5,52.6,18.6,0.1,0,0,1122252,22.2,34.5,65.5,0,2516,63.6,9.1,27.3,11,76.8,21.8,1.4,4278,58.4,41.4,0.1,2276
"Alaska",2017,22203,63,14004,1321,2,1.08,2764,14.8,0.88,4085,30.2,0.2,89.6,14.8,5.4,NA,0,0,185729,14.9,42.3,57.7,0,1436,80,20,0,5,82.6,17.3,0.1,1556,65.1,34.9,0,1088
"Alaska",2018,21342,63,13363,1337,2,1.09,2695,15.8,1.51,4032,28.4,2.9,88.8,17,7.8,0.2,0,0,183189,14.1,42.5,57.5,0,1450,100,0,0,1,83.1,16.7,0.1,1530,66.9,33.1,0,1051
"Alaska",2019,22905,63,14470,1496,1,0.55,2720,15.4,0.78,4216,35.7,3,86.7,16.5,9.2,0.1,0,0,180442,13,41.6,58.4,0,1410,100,0,0,2,78.2,21.8,0.1,1710,65.4,34.6,0,1094
"Alaska",2020,24251,75,18224,1353,2,1.1,2845,13.4,1.43,4198,36,3.6,81.1,22.2,9.6,0,0,0,181019,11.8,43.2,56.8,0,1395,100,0,0,6,82.7,17.2,0.1,1581,60.5,39.5,0,1216
"Alaska",2021,22724,75,16954,1324,6,3.35,2794,15.7,1.12,4119,34.1,3.8,81.9,21.3,8.5,0.1,0,0,179356,12.4,41.9,58.1,0,1491,50,50,0,2,79.5,20.4,0.1,1525,68.8,31.2,0,1101
"Arizona",2017,173979,80,139848,10057,35,2.14,16840,11.9,0.14,26897,0,NA,97.4,8.3,3.2,NA,0,0,1638725,20.8,44.7,52.7,2.6,6241,88.2,0,11.8,17,82.5,13.1,4.4,11904,65.1,31.9,2.9,8735
"Arizona",2018,153110,81,123826,9173,48,2.93,14736,12.2,0.12,23909,0.1,NA,97.2,8.2,4,NA,0,0,1638657,20.1,41.1,57,1.9,5759,84.6,0,15.4,13,83.5,13.3,3.2,10826,68.3,30.4,1.3,7311
"Arizona",2019,144209,82,117728,9607,33,2.01,13082,11.7,0.12,22689,0.1,NA,97.2,8.1,3.9,NA,0,0,1641727,19.1,40.3,57.6,2.2,5030,69.6,0,30.4,46,83.6,13,3.4,11095,67.4,30.3,2.2,6518
