"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","length_in_care","two_minus_place","three_plus_place","missing_place","n_in_care_place","n_in_care_total","two_minus_place_all","three_plus_place_all","region"
"Alabama",2017,57847,99,57517,4098,28,2.55,4916,11.8,0.3,0.4,0.9,43.9,53.6,14.9,NA,0,0,1096577,24.6,"greater than 24m",31.7,68.3,0,2036,9015,0.608842817526345,0.382806100942873,"South"
"Alabama",2017,57847,99,57517,4098,28,2.55,4916,11.8,0.3,0.4,0.9,43.9,53.6,14.9,NA,0,0,1096577,24.6,"time in care missing",75,12.5,12.5,8,9015,0.608842817526345,0.382806100942873,"South"
"Alabama",2017,57847,99,57517,4098,28,2.55,4916,11.8,0.3,0.4,0.9,43.9,53.6,14.9,NA,0,0,1096577,24.6,"less than 12m",76.9,21.7,1.4,4852,9015,0.608842817526345,0.382806100942873,"South"
"Alabama",2017,57847,99,57517,4098,28,2.55,4916,11.8,0.3,0.4,0.9,43.9,53.6,14.9,NA,0,0,1096577,24.6,"between 12 and 24m",52.2,47.5,0.3,2119,9015,0.608842817526345,0.382806100942873,"South"
"Alabama",2018,63545,100,63239,4075,43,3.94,5486,11.1,0.17,0.3,0.6,42.9,53.3,16.6,0,0,0,1092599,23.8,"greater than 24m",32,68,0,2226,9561,0.614375902102291,0.378555695010982,"South"
"Alabama",2018,63545,100,63239,4075,43,3.94,5486,11.1,0.17,0.3,0.6,42.9,53.3,16.6,0,0,0,1092599,23.8,"time in care missing",80,20,0,5,9561,0.614375902102291,0.378555695010982,"South"
"Alabama",2018,63545,100,63239,4075,43,3.94,5486,11.1,0.17,0.3,0.6,42.9,53.3,16.6,0,0,0,1092599,23.8,"less than 12m",78.2,20.5,1.4,4811,9561,0.614375902102291,0.378555695010982,"South"
"Alabama",2018,63545,100,63239,4075,43,3.94,5486,11.1,0.17,0.3,0.6,42.9,53.3,16.6,0,0,0,1092599,23.8,"between 12 and 24m",55.4,44.4,0.2,2519,9561,0.614375902102291,0.378555695010982,"South"
"Alabama",2019,65497,100,65297,3985,34,3.12,5756,12,0.27,0.2,0.7,39.8,54.8,17.7,0,0,0,1088727,21.4,"greater than 24m",32.1,67.9,0,2421,9741,0.613741607637819,0.379610614926599,"South"
"Alabama",2019,65497,100,65297,3985,34,3.12,5756,12,0.27,0.2,0.7,39.8,54.8,17.7,0,0,0,1088727,21.4,"time in care missing",100,0,0,20,9741,0.613741607637819,0.379610614926599,"South"
"Alabama",2019,65497,100,65297,3985,34,3.12,5756,12,0.27,0.2,0.7,39.8,54.8,17.7,0,0,0,1088727,21.4,"less than 12m",78.1,20.6,1.3,4788,9741,0.613741607637819,0.379610614926599,"South"
"Alabama",2019,65497,100,65297,3985,34,3.12,5756,12,0.27,0.2,0.7,39.8,54.8,17.7,0,0,0,1088727,21.4,"between 12 and 24m",57.4,42.5,0.1,2512,9741,0.613741607637819,0.379610614926599,"South"
"Alabama",2020,54695,100,54500,3504,47,4.18,5671,12.6,0.32,0.2,0.7,44,50.5,19.4,0,0,0,1124750,20.4,"greater than 24m",32.7,67.3,0,2508,9175,0.605053188010899,0.390096021798365,"South"
"Alabama",2020,54695,100,54500,3504,47,4.18,5671,12.6,0.32,0.2,0.7,44,50.5,19.4,0,0,0,1124750,20.4,"time in care missing",86.7,13.3,0,15,9175,0.605053188010899,0.390096021798365,"South"
"Alabama",2020,54695,100,54500,3504,47,4.18,5671,12.6,0.32,0.2,0.7,44,50.5,19.4,0,0,0,1124750,20.4,"less than 12m",78.1,20.9,1,4206,9175,0.605053188010899,0.390096021798365,"South"
"Alabama",2020,54695,100,54500,3504,47,4.18,5671,12.6,0.32,0.2,0.7,44,50.5,19.4,0,0,0,1124750,20.4,"between 12 and 24m",58.6,41.3,0.1,2446,9175,0.605053188010899,0.390096021798365,"South"
"Alabama",2021,60858,100,60653,3631,36,3.21,5450,13.3,0.25,0.2,0.7,43.5,52.6,18.6,0.1,0,0,1122252,22.2,"greater than 24m",34.5,65.5,0,2516,9081,0.604526373747385,0.388046360532981,"South"
"Alabama",2021,60858,100,60653,3631,36,3.21,5450,13.3,0.25,0.2,0.7,43.5,52.6,18.6,0.1,0,0,1122252,22.2,"time in care missing",63.6,9.1,27.3,11,9081,0.604526373747385,0.388046360532981,"South"
"Alabama",2021,60858,100,60653,3631,36,3.21,5450,13.3,0.25,0.2,0.7,43.5,52.6,18.6,0.1,0,0,1122252,22.2,"less than 12m",76.8,21.8,1.4,4278,9081,0.604526373747385,0.388046360532981,"South"
"Alabama",2021,60858,100,60653,3631,36,3.21,5450,13.3,0.25,0.2,0.7,43.5,52.6,18.6,0.1,0,0,1122252,22.2,"between 12 and 24m",58.4,41.4,0.1,2276,9081,0.604526373747385,0.388046360532981,"South"
"Alaska",2017,22203,63,14004,1321,2,1.08,2764,14.8,0.88,30.2,0.2,89.6,14.8,5.4,NA,0,0,185729,14.9,"greater than 24m",42.3,57.7,0,1436,4085,0.637692044063647,0.361927050183599,"Other"
"Alaska",2017,22203,63,14004,1321,2,1.08,2764,14.8,0.88,30.2,0.2,89.6,14.8,5.4,NA,0,0,185729,14.9,"time in care missing",80,20,0,5,4085,0.637692044063647,0.361927050183599,"Other"
"Alaska",2017,22203,63,14004,1321,2,1.08,2764,14.8,0.88,30.2,0.2,89.6,14.8,5.4,NA,0,0,185729,14.9,"less than 12m",82.6,17.3,0.1,1556,4085,0.637692044063647,0.361927050183599,"Other"
"Alaska",2017,22203,63,14004,1321,2,1.08,2764,14.8,0.88,30.2,0.2,89.6,14.8,5.4,NA,0,0,185729,14.9,"between 12 and 24m",65.1,34.9,0,1088,4085,0.637692044063647,0.361927050183599,"Other"
"Alaska",2018,21342,63,13363,1337,2,1.09,2695,15.8,1.51,28.4,2.9,88.8,17,7.8,0.2,0,0,183189,14.1,"greater than 24m",42.5,57.5,0,1450,4032,0.642807291666667,0.356433779761905,"Other"
"Alaska",2018,21342,63,13363,1337,2,1.09,2695,15.8,1.51,28.4,2.9,88.8,17,7.8,0.2,0,0,183189,14.1,"time in care missing",100,0,0,1,4032,0.642807291666667,0.356433779761905,"Other"
"Alaska",2018,21342,63,13363,1337,2,1.09,2695,15.8,1.51,28.4,2.9,88.8,17,7.8,0.2,0,0,183189,14.1,"less than 12m",83.1,16.7,0.1,1530,4032,0.642807291666667,0.356433779761905,"Other"
"Alaska",2018,21342,63,13363,1337,2,1.09,2695,15.8,1.51,28.4,2.9,88.8,17,7.8,0.2,0,0,183189,14.1,"between 12 and 24m",66.9,33.1,0,1051,4032,0.642807291666667,0.356433779761905,"Other"
"Alaska",2019,22905,63,14470,1496,1,0.55,2720,15.4,0.78,35.7,3,86.7,16.5,9.2,0.1,0,0,180442,13,"greater than 24m",41.6,58.4,0,1410,4216,0.626483870967742,0.373516129032258,"Other"
"Alaska",2019,22905,63,14470,1496,1,0.55,2720,15.4,0.78,35.7,3,86.7,16.5,9.2,0.1,0,0,180442,13,"time in care missing",100,0,0,2,4216,0.626483870967742,0.373516129032258,"Other"
"Alaska",2019,22905,63,14470,1496,1,0.55,2720,15.4,0.78,35.7,3,86.7,16.5,9.2,0.1,0,0,180442,13,"less than 12m",78.2,21.8,0.1,1710,4216,0.626483870967742,0.373516129032258,"Other"
"Alaska",2019,22905,63,14470,1496,1,0.55,2720,15.4,0.78,35.7,3,86.7,16.5,9.2,0.1,0,0,180442,13,"between 12 and 24m",65.4,34.6,0,1094,4216,0.626483870967742,0.373516129032258,"Other"
"Alaska",2020,24251,75,18224,1353,2,1.1,2845,13.4,1.43,36,3.6,81.1,22.2,9.6,0,0,0,181019,11.8,"greater than 24m",43.2,56.8,0,1395,4198,0.631683420676513,0.367939971414959,"Other"
"Alaska",2020,24251,75,18224,1353,2,1.1,2845,13.4,1.43,36,3.6,81.1,22.2,9.6,0,0,0,181019,11.8,"time in care missing",100,0,0,6,4198,0.631683420676513,0.367939971414959,"Other"
"Alaska",2020,24251,75,18224,1353,2,1.1,2845,13.4,1.43,36,3.6,81.1,22.2,9.6,0,0,0,181019,11.8,"less than 12m",82.7,17.2,0.1,1581,4198,0.631683420676513,0.367939971414959,"Other"
"Alaska",2020,24251,75,18224,1353,2,1.1,2845,13.4,1.43,36,3.6,81.1,22.2,9.6,0,0,0,181019,11.8,"between 12 and 24m",60.5,39.5,0,1216,4198,0.631683420676513,0.367939971414959,"Other"
