"State","Year","Monthly Caseworker Visits (MCVs) (%)","Number of Caseworker Visits","Number of Visit Months","Visits in Home (%)","Number of Home Visits","Number of Caseworker Visits"
"Alabama","2018","97","63545","65721","100","63239","63545"
"Alaska","2018","68","21342","31282","63","13363","21342"
"Arizona","2018","96","153110","160206","81","123826","153110"
"Arkansas","2018","85","43044","50380","94","40375","43044"
"California","2018","94","521789","554313","79","413617","521789"
"Colorado","2018","95","50078","52716","85","42347","50078"
"Connecticut","2018","95","39837","41932","92","36640","39837"
"Delaware","2018","84","6698","7949","78","5251","6698"
"District of Columbia","2018","97","7850","8120","98","7690","7850"
"Florida","2018","96","261888","271687","99","259678","261888"
"Georgia","2018","98","154742","158205","82","126671","154742"
"Hawaii","2018","79","2106","2665","60","1262","2106"
"Idaho","2018","95","18075","18995","76","13699","18075"
"Illinois","2018","95","150936","158622","97","146225","150936"
"Indiana","2018","99","198084","200857","82","161884","198084"
"Iowa","2018","84","56601","67694","73","41328","56601"
"Kansas","2018","90","74453","82713","83","61925","74453"
"Kentucky","2018","92","91003","99192","98","88943","91003"
"Louisiana","2018","95","48768","51069","97","47417","48768"
"Maine","2018","97","17795","18325","84","15021","17795"
"Maryland","2018","96","38094","39560","72","27331","38094"
"Massachusetts","2018","87","107916","123606","80","86467","107916"
"Michigan","2018","97","137047","140754","98","134743","137047"
"Minnesota","2018","80","87661","108899","87","76427","87661"
"Mississippi","2018","95","57587","60302","93","53293","57587"
"Missouri","2018","98","143600","147251","96","137731","143600"
"Montana","2018","66","29539","45036","82","24229","29539"
"Nebraska","2018","97","41631","42777","91","37690","41631"
"Nevada","2018","95","48086","50534","91","43592","48086"
"New Hampshire","2018","93","15095","16262","97","14701","15095"
"New Jersey","2018","98","63387","64506","98","62105","63387"
"New Mexico","2018","96","27679","28922","98","27012","27679"
"New York","2018","96","176158","183978","93","164516","176158"
"North Carolina","2018","96","116733","122062","91","106657","116733"
"North Dakota","2018","89","15954","17863","78","12450","15954"
"Ohio","2018","96","166321","173207","86","142607","166321"
"Oklahoma","2018","95","97267","102365","94","91812","97267"
"Oregon","2018","90","78380","87350","74","58032","78380"
"Pennsylvania","2018","97","2987","3080","98","2925","2987"
"Puerto Rico","2018","78","28336","36107","93","26316","28336"
"Rhode Island","2018","96","22729","23783","63","14256","22729"
"South Carolina","2018","97","45850","47380","68","31406","45850"
"South Dakota","2018","98","17439","17874","95","16572","17439"
"Tennessee","2018","96","86085","89424","75","64135","86085"
"Texas","2018","99","362204","367606","89","322480","362204"
"Utah","2018","96","29292","30376","100","29249","29292"
"Vermont","2018","92","13366","14478","55","7378","13366"
"Virginia","2018","96","49762","51977","78","38995","49762"
"Washington","2018","95","118593","124255","88","104484","118593"
"West Virginia","2018","94","70327","75000","63","44070","70327"
"Wisconsin","2018","97","91595","94208","86","78805","91595"
"Wyoming","2018","97","10304","10571","66","6767","10304"
