"State","Year","Monthly Caseworker Visits (MCVs) (%)","Number of Caseworker Visits","Number of Visit Months","Visits in Home (%)","Number of Home Visits","Number of Caseworker Visits"
"Alabama","2017","95","57847","60719","99","57517","57847"
"Alaska","2017","67","22203","32909","63","14004","22203"
"Arizona","2017","95","173979","183221","80","139848","173979"
"Arkansas","2017","79","43237","54789","91","39561","43237"
"California","2017","94","544178","581567","79","430412","544178"
"Colorado","2017","95","52001","54488","85","44218","52001"
"Connecticut","2017","95","43266","45469","91","39299","43266"
"Delaware","2017","84","6884","8176","79","5433","6884"
"District of Columbia","2017","97","8602","8832","98","8461","8602"
"Florida","2017","97","263806","272042","99","261101","263806"
"Georgia","2017","98","142369","145460","83","118415","142369"
"Hawaii","2017","77","2049","2653","61","1256","2049"
"Idaho","2017","97","16889","17470","78","13113","16889"
"Illinois","2017","95","151837","159385","97","147095","151837"
"Indiana","2017","98","177415","180954","81","143670","177415"
"Iowa","2017","89","55102","61686","74","40572","55102"
"Kansas","2017","95","74683","78415","83","62160","74683"
"Kentucky","2017","93","83688","90222","98","81906","83688"
"Louisiana","2017","96","48618","50767","98","47427","48618"
"Maine","2017","98","19345","19781","86","16602","19345"
"Maryland","2017","97","36758","37908","74","27207","36758"
"Massachusetts","2017","84","105039","124714","78","82021","105039"
"Michigan","2017","96","135062","140103","98","132421","135062"
"Minnesota","2017","79","82682","104700","87","71707","82682"
"Mississippi","2017","93","60259","65045","91","55101","60259"
"Missouri","2017","97","140985","145409","98","137789","140985"
"Montana","2017","65","27038","41430","83","22551","27038"
"Nebraska","2017","98","44405","45356","91","40442","44405"
"Nevada","2017","94","45831","48591","90","41356","45831"
"New Hampshire","2017","91","13140","14449","98","12842","13140"
"New Jersey","2017","99","70369","71070","98","69275","70369"
"New Mexico","2017","96","28660","29780","97","27928","28660"
"New York","2017","95","179891","188742","93","167636","179891"
"North Carolina","2017","95","114108","120562","90","102955","114108"
"North Dakota","2017","94","15817","16908","79","12528","15817"
"Ohio","2017","96","154896","161438","88","135571","154896"
"Oklahoma","2017","95","104704","110210","95","98962","104704"
"Oregon","2017","89","76479","85620","73","55771","76479"
"Pennsylvania","2017","97","3007","3108","99","2972","3007"
"Puerto Rico","2017","77","31227","40771","91","28532","31227"
"Rhode Island","2017","97","19732","20359","62","12150","19732"
"South Carolina","2017","97","44025","45229","72","31589","44025"
"South Dakota","2017","98","16730","17078","97","16195","16730"
"Tennessee","2017","97","82033","84741","77","62951","82033"
"Texas","2017","98","344159","351350","88","304523","344159"
"Utah","2017","97","30757","31838","100","30682","30757"
"Vermont","2017","88","12719","14402","54","6888","12719"
"Virginia","2017","96","51074","53155","78","39903","51074"
"Washington","2017","95","115100","120854","88","101693","115100"
"West Virginia","2017","95","63010","66076","67","42464","63010"
"Wisconsin","2017","97","88213","90526","88","77207","88213"
"Wyoming","2017","98","11317","11587","69","7789","11317"
