"State","Year","Number","Median Length of Stay (months)"
"Alabama","2019","3985","NaN"
"Alaska","2019","1496","NaN"
"Arizona","2019","9607","NaN"
"Arkansas","2019","3071","NaN"
"California","2019","28138","NaN"
"Colorado","2019","4420","NaN"
"Connecticut","2019","2050","NaN"
"Delaware","2019","300","NaN"
"District of Columbia","2019","360","NaN"
"Florida","2019","15597","NaN"
"Georgia","2019","6468","NaN"
"Hawaii","2019","1272","NaN"
"Idaho","2019","1322","NaN"
"Illinois","2019","6709","NaN"
"Indiana","2019","9180","NaN"
"Iowa","2019","3769","NaN"
"Kansas","2019","4212","NaN"
"Kentucky","2019","6629","NaN"
"Louisiana","2019","2769","NaN"
"Maine","2019","1246","NaN"
"Maryland","2019","1917","NaN"
"Massachusetts","2019","5420","NaN"
"Michigan","2019","5770","NaN"
"Minnesota","2019","6045","NaN"
"Mississippi","2019","2396","NaN"
"Missouri","2019","6889","NaN"
"Montana","2019","2178","NaN"
"Nebraska","2019","2209","NaN"
"Nevada","2019","3231","NaN"
"New Hampshire","2019","846","NaN"
"New Jersey","2019","2679","NaN"
"New Mexico","2019","1447","NaN"
"New York","2019","8337","NaN"
"North Carolina","2019","5564","NaN"
"North Dakota","2019","987","NaN"
"Ohio","2019","12410","NaN"
"Oklahoma","2019","4529","NaN"
"Oregon","2019","3334","NaN"
"Pennsylvania","2019","9528","NaN"
"Puerto Rico","2019","981","NaN"
"Rhode Island","2019","1111","NaN"
"South Carolina","2019","3958","NaN"
"South Dakota","2019","1215","NaN"
"Tennessee","2019","6719","NaN"
"Texas","2019","18455","NaN"
"Utah","2019","2020","NaN"
"Vermont","2019","736","NaN"
"Virginia","2019","2800","NaN"
"Washington","2019","5336","NaN"
"West Virginia","2019","5105","NaN"
"Wisconsin","2019","4620","NaN"
"Wyoming","2019","1042","NaN"
