"State","Year","Number","Rate per 100,000"
"Alabama","2017","28","2.55"
"Alaska","2017","2","1.08"
"Arizona","2017","35","2.14"
"Arkansas","2017","37","5.24"
"California","2017","147","1.62"
"Colorado","2017","35","2.77"
"Connecticut","2017","11","1.48"
"Delaware","2017","4","1.96"
"District of Columbia","2017","4","3.2"
"Florida","2017","101","2.4"
"Georgia","2017","94","3.74"
"Hawaii","2017","4","1.31"
"Idaho","2017","10","2.26"
"Illinois","2017","74","2.55"
"Indiana","2017","78","4.96"
"Iowa","2017","19","2.6"
"Kansas","2017","14","1.97"
"Kentucky","2017","10","0.99"
"Louisiana","2017","25","2.26"
"Maine","2017","NaN","NaN"
"Maryland","2017","41","3.05"
"Massachusetts","2017","14","1.02"
"Michigan","2017","51","2.34"
"Minnesota","2017","24","1.85"
"Mississippi","2017","40","5.6"
"Missouri","2017","33","2.38"
"Montana","2017","4","1.74"
"Nebraska","2017","1","0.21"
"Nevada","2017","21","3.08"
"New Hampshire","2017","2","0.77"
"New Jersey","2017","13","0.66"
"New Mexico","2017","16","3.27"
"New York","2017","127","3.09"
"North Carolina","2017","18","0.78"
"North Dakota","2017","1","0.57"
"Ohio","2017","73","2.8"
"Oklahoma","2017","21","2.19"
"Oregon","2017","30","3.44"
"Pennsylvania","2017","42","1.58"
"Puerto Rico","2017","6","0.92"
"Rhode Island","2017","5","2.42"
"South Carolina","2017","28","2.53"
"South Dakota","2017","5","2.31"
"Tennessee","2017","33","2.19"
"Texas","2017","186","2.53"
"Utah","2017","13","1.4"
"Vermont","2017","0","0"
"Virginia","2017","41","2.19"
"Washington","2017","18","1.09"
"West Virginia","2017","17","4.6"
"Wisconsin","2017","31","2.41"
"Wyoming","2017","4","2.93"
