"State","Year","Number","Median Length of Stay (months)"
"Alabama","2020","5671","12.6"
"Alaska","2020","2845","13.4"
"Arizona","2020","12893","10.6"
"Arkansas","2020","4053","10.5"
"California","2020","49691","14.5"
"Colorado","2020","5185","11.3"
"Connecticut","2020","4085","14.9"
"Delaware","2020","546","15.6"
"District of Columbia","2020","663","14.6"
"Florida","2020","23838","11.3"
"Georgia","2020","12805","16.3"
"Hawaii","2020","1653","12.2"
"Idaho","2020","1566","11.9"
"Illinois","2020","18059","19.1"
"Indiana","2020","15876","14.4"
"Iowa","2020","5686","10.8"
"Kansas","2020","7817","14.2"
"Kentucky","2020","9015","12.9"
"Louisiana","2020","3880","13.1"
"Maine","2020","2068","12.6"
"Maryland","2020","NaN","NaN"
"Massachusetts","2020","9695","16.6"
"Michigan","2020","11635","14.5"
"Minnesota","2020","8185","12.3"
"Mississippi","2020","4084","16.3"
"Missouri","2020","12545","13.1"
"Montana","2020","3618","15.1"
"Nebraska","2020","3410","11.9"
"Nevada","2020","4493","12.7"
"New Hampshire","2020","1165","13.2"
"New Jersey","2020","4370","15.7"
"New Mexico","2020","2305","19.3"
"New York","2020","15398","17"
"North Carolina","2020","10045","13.8"
"North Dakota","2020","1461","15.1"
"Ohio","2020","15755","10.6"
"Oklahoma","2020","8280","12.6"
"Oregon","2020","6720","16.3"
"Pennsylvania","2020","15162","14.2"
"Puerto Rico","2020","2171","18.4"
"Rhode Island","2020","2177","13.6"
"South Carolina","2020","4458","12.2"
"South Dakota","2020","1676","11.7"
"Tennessee","2020","8814","9.8"
"Texas","2020","31108","11.3"
"Utah","2020","2469","8.8"
"Vermont","2020","1185","14.2"
"Virginia","2020","4946","13.8"
"Washington","2020","10800","18.3"
"West Virginia","2020","7141","9.8"
"Wisconsin","2020","7433","13.8"
"Wyoming","2020","933","8.6"
