"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2017","0.3","99.7","9015"
"Alaska","2017","0.88","99.12","4085"
"Arizona","2017","0.14","99.86","26897"
"Arkansas","2017","0.23","99.77","8545"
"California","2017","0.18","99.82","80408"
"Colorado","2017","0.49","99.51","10577"
"Connecticut","2017","1.27","98.73","5662"
"Delaware","2017","0","100","1190"
"District of Columbia","2017","0.27","99.73","1131"
"Florida","2017","0.04","99.96","39735"
"Georgia","2017","0.35","99.65","20037"
"Hawaii","2017","0.11","99.89","2697"
"Idaho","2017","0.04","99.96","2687"
"Illinois","2017","0.75","99.25","19722"
"Indiana","2017","0.26","99.74","32081"
"Iowa","2017","0.22","99.78","9388"
"Kansas","2017","0.65","99.35","11138"
"Kentucky","2017","0.51","99.49","13555"
"Louisiana","2017","NaN","NaN","NaN"
"Maine","2017","0.57","99.43","2651"
"Maryland","2017","0.47","99.53","6119"
"Massachusetts","2017","1","99","16752"
"Michigan","2017","0.88","99.12","18230"
"Minnesota","2017","0.81","99.19","15876"
"Mississippi","2017","1.14","98.86","8330"
"Missouri","2017","0.28","99.72","19030"
"Montana","2017","0.39","99.61","5682"
"Nebraska","2017","0.23","99.77","6564"
"Nevada","2017","0.21","99.79","7553"
"New Hampshire","2017","0.2","99.8","2039"
"New Jersey","2017","0.12","99.88","10131"
"New Mexico","2017","0.11","99.89","4479"
"New York","2017","3.28","96.72","26316"
"North Carolina","2017","0.45","99.55","15501"
"North Dakota","2017","0","100","2461"
"Ohio","2017","0.42","99.58","25195"
"Oklahoma","2017","1.23","98.77","15139"
"Oregon","2017","0.95","99.05","11418"
"Pennsylvania","2017","0.2","99.8","26552"
"Puerto Rico","2017","2.07","97.93","1014"
"Rhode Island","2017","2.06","97.94","2863"
"South Carolina","2017","0.5","99.5","7579"
"South Dakota","2017","0.16","99.84","2571"
"Tennessee","2017","0.14","99.86","13246"
"Texas","2017","0.27","99.73","50331"
"Utah","2017","0.43","99.57","5062"
"Vermont","2017","0.1","99.9","2013"
"Virginia","2017","0.2","99.8","7635"
"Washington","2017","0.08","99.92","16778"
"West Virginia","2017","0.21","99.79","10561"
"Wisconsin","2017","0.12","99.88","12226"
"Wyoming","2017","0.24","99.76","2062"
