"State","Year","Emotional Abuse (%)","Medical Neglect (%)","Neglect (%)","Physical Abuse (%)","Sexual Abuse (%)","Trafficking (%)","Other (%)","Missing Data (%)"
"Alabama","2017","0.4","0.9","43.9","53.6","14.9","NaN","0","0"
"Alaska","2017","30.2","0.2","89.6","14.8","5.4","NaN","0","0"
"Arizona","2017","0","NaN","97.4","8.3","3.2","NaN","0","0"
"Arkansas","2017","1.7","15.7","56.7","22.5","19.7","NaN","0","0"
"California","2017","10.8","0.2","93.1","8.3","5.5","NaN","0.6","0"
"Colorado","2017","2.3","1.6","86.7","11.5","9.3","NaN","0","0.3"
"Connecticut","2017","30.4","3.7","91.4","6.3","4.8","NaN","0","0"
"Delaware","2017","39.2","1.4","29.4","19.1","7.1","NaN","17.5","0"
"District of Columbia","2017","NaN","NaN","92.7","18.4","3.9","NaN","0.3","0"
"Florida","2017","1.1","3","60.5","8.2","7.1","NaN","46.3","0"
"Georgia","2017","15.3","2.4","79","10.1","5.9","NaN","0","0"
"Hawaii","2017","1.4","1.2","13.1","8.7","4.7","NaN","90.4","0"
"Idaho","2017","NaN","0.5","80.3","22.1","4.3","NaN","0.7","0"
"Illinois","2017","0.2","2.3","80","20.4","15","NaN","0","0"
"Indiana","2017","NaN","NaN","95.5","6.5","9.4","NaN","0","0"
"Iowa","2017","0.7","1","93.4","12.5","7.7","NaN","6.1","0"
"Kansas","2017","18.4","2.6","19.6","24.7","18.8","NaN","30.3","0"
"Kentucky","2017","0.2","2.2","106.4","7","3.9","NaN","0","0"
"Louisiana","2017","0.4","NaN","90.9","15.5","5.3","NaN","0.1","0"
"Maine","2017","35.1","NaN","66.5","30.3","8.4","NaN","0","0"
"Maryland","2017","0.1","NaN","65.2","23.1","24.1","NaN","0","0"
"Massachusetts","2017","NaN","NaN","104.1","9","2.9","NaN","0","0"
"Michigan","2017","0.4","1.9","85.2","25.2","3.7","NaN","0","0"
"Minnesota","2017","1.6","0.2","68.9","31.6","17.9","NaN","0","0"
"Mississippi","2017","15.3","3.9","80.6","15.2","11.7","NaN","0.3","0"
"Missouri","2017","10.5","3.6","60.3","30.5","28","NaN","0","0"
"Montana","2017","0.9","0.2","105.2","4","2.8","NaN","0","0"
"Nebraska","2017","0.8","0","89.8","11.9","7.7","NaN","0","0"
"Nevada","2017","0.2","1.7","87.5","22.3","5.2","NaN","0","0"
"New Hampshire","2017","0.7","2.2","90.6","8.3","7.2","NaN","0","0"
"New Jersey","2017","0.8","2.2","82.8","14.1","10.8","NaN","0","0"
"New Mexico","2017","29.5","3.6","92","12.7","2.6","NaN","0","0"
"New York","2017","0.8","7","109.8","10.2","3.2","NaN","31.1","0"
"North Carolina","2017","1.6","0.8","54","25.3","20","NaN","1.3","1.1"
"North Dakota","2017","40.9","2.2","79.4","8.2","2.4","NaN","0","0"
"Ohio","2017","3.8","2.1","48.4","50.5","18","NaN","0","0"
"Oklahoma","2017","27","1.3","82.3","14.2","4.8","NaN","0","0"
"Oregon","2017","1.5","1.5","58.9","10.3","7.7","NaN","50.9","0"
"Pennsylvania","2017","1.2","5.6","8.1","43.3","46.9","NaN","1.6","0"
"Puerto Rico","2017","52.9","8.6","60.5","24.9","2.5","NaN","0.4","0"
"Rhode Island","2017","36.3","1.6","61.2","14.8","3.3","NaN","2.2","0"
"South Carolina","2017","0.8","2.1","58.3","55.3","4.9","NaN","0.4","0"
"South Dakota","2017","1.4","NaN","93.8","11.7","4.5","NaN","0","0"
"Tennessee","2017","2.4","1.4","24.6","62.3","27.6","NaN","0","0"
"Texas","2017","0.6","1.9","85.3","14.4","10","NaN","0","0"
"Utah","2017","29.1","0.5","30.6","46.6","17.8","NaN","1.5","0"
"Vermont","2017","NaN","1.3","2.8","65.4","45.4","NaN","0","0"
"Virginia","2017","1.4","2.2","66.9","30.6","11.1","NaN","0.1","0"
"Washington","2017","NaN","NaN","89.1","22.3","11.1","NaN","0","0"
"West Virginia","2017","65.9","4.7","42.2","82.4","3.7","NaN","0","0"
"Wisconsin","2017","0.8","NaN","70.7","16.4","20.9","NaN","0","0"
"Wyoming","2017","30.5","1.2","75.9","1.5","6.7","NaN","0.3","0"
