"State","Year","Emotional Abuse (%)","Medical Neglect (%)","Neglect (%)","Physical Abuse (%)","Sexual Abuse (%)","Trafficking (%)","Other (%)","Missing Data (%)"
"Alabama","2020","0.2","0.7","44","50.5","19.4","0","0","0"
"Alaska","2020","36","3.6","81.1","22.2","9.6","0","0","0"
"Arizona","2020","0.1","NaN","97","8.7","3.9","NaN","0","0"
"Arkansas","2020","2","2.4","72.4","20.2","19.7","0.1","0.3","0"
"California","2020","9.2","0.1","94","7","5.5","0.1","0.8","0"
"Colorado","2020","1.9","1.2","89.7","10.3","9","NaN","0","0.2"
"Connecticut","2020","31.6","2.6","90.4","5.6","6","NaN","0","0"
"Delaware","2020","38.2","NaN","31.8","16.8","12.7","0","9.7","0"
"District of Columbia","2020","NaN","NaN","96.8","13.6","2.3","1.6","0","0.1"
"Florida","2020","1","3.4","61.9","8.5","8.4","NaN","42.8","0"
"Georgia","2020","26","2.9","62.5","12.9","8.8","0.5","0","0"
"Hawaii","2020","2.1","0.8","21.6","9.9","7","1.3","93","0"
"Idaho","2020","NaN","0.3","55","43.8","8.2","0.1","0","0"
"Illinois","2020","0.2","1.9","87.3","18","14.1","NaN","0.2","0"
"Indiana","2020","NaN","NaN","92.4","7.2","11.5","0.1","0","0"
"Iowa","2020","0.9","0.8","104.4","10.7","6.7","0.1","0","0"
"Kansas","2020","16.7","2.8","45.2","25.7","20.9","0.4","0","0"
"Kentucky","2020","0.2","1.9","101.2","7.6","4.4","NaN","0","0"
"Louisiana","2020","0.3","NaN","91.1","11.5","6","0","0.1","0"
"Maine","2020","40.2","NaN","68","29","8.1","0","0","0"
"Maryland","2020","0.2","NaN","62.5","20.3","29.5","NaN","0","0"
"Massachusetts","2020","NaN","NaN","103.9","8","3.3","1.3","0","0"
"Michigan","2020","0.6","2.2","92.3","15.2","4.5","0.1","0","0"
"Minnesota","2020","2.6","NaN","72.5","14.1","24.9","0.2","0","0"
"Mississippi","2020","19.1","4.8","75.4","16.2","13.9","0.1","0.2","0"
"Missouri","2020","14.7","2.4","51.2","31.8","33.2","0.2","0","0"
"Montana","2020","0.6","0.3","106.4","5","2.9","0","0.2","0"
"Nebraska","2020","0.4","0","84","13.7","10.7","0.5","0","0"
"Nevada","2020","0.4","1.5","85.9","20.9","7.3","NaN","0","0"
"New Hampshire","2020","3.8","2.4","87.8","7","10.1","0","0","0"
"New Jersey","2020","1.3","2.2","74.6","14.6","17.7","0.1","0","0"
"New Mexico","2020","30.2","3.3","94.9","14.2","3.8","NaN","0","0"
"New York","2020","1","6","109.2","9.4","3.9","0","31.2","0"
"North Carolina","2020","0.7","4.4","95.3","5","4.6","0","0.9","0"
"North Dakota","2020","29.1","2.1","78.5","8.5","3.2","NaN","0","0"
"Ohio","2020","7.1","1.6","47.5","50.6","18.5","0.1","0","0"
"Oklahoma","2020","34.8","1.8","76","13.5","5.4","0","0","0"
"Oregon","2020","1.9","0.6","51.3","12.2","6.8","0.2","55.2","0"
"Pennsylvania","2020","1","3.7","9.6","45.8","46.6","0.9","0.3","0"
"Puerto Rico","2020","53.1","13.3","70","25","2.7","0","0.9","0"
"Rhode Island","2020","38.5","1.3","59.8","13.5","4.9","0","2.6","0"
"South Carolina","2020","7.4","2.3","60.5","46.7","5.2","0.2","0","0"
"South Dakota","2020","2.7","NaN","95.8","9.8","5.4","0.1","0","0"
"Tennessee","2020","5.4","1.5","25.7","59.8","26.9","1.2","0","0"
"Texas","2020","0.5","1.5","87.6","11.5","10.2","0.1","0","0"
"Utah","2020","37.5","0.6","27.3","39.5","17.2","0.1","1.5","0"
"Vermont","2020","0.4","2.3","0.9","78.3","25.7","NaN","0","0"
"Virginia","2020","1.7","2.3","68.9","28","12.7","0.1","0.1","0"
"Washington","2020","NaN","NaN","88.8","23","12","0.8","0","0"
"West Virginia","2020","67.9","5.5","42.6","83.5","4","NaN","0","0"
"Wisconsin","2020","0.6","1.6","69.5","15.9","22.7","1.2","0","0"
"Wyoming","2020","35.2","0.3","81.5","2.3","4.6","NaN","0.5","0"
