"State","Year","Total Children Under 18"
"Alabama","2017","1096577"
"Alaska","2017","185729"
"Arizona","2017","1638725"
"Arkansas","2017","705952"
"California","2017","9050090"
"Colorado","2017","1264219"
"Connecticut","2017","743729"
"Delaware","2017","204165"
"District of Columbia","2017","124821"
"Florida","2017","4204867"
"Georgia","2017","2513811"
"Hawaii","2017","305360"
"Idaho","2017","443043"
"Illinois","2017","2897055"
"Indiana","2017","1573905"
"Iowa","2017","731975"
"Kansas","2017","712412"
"Kentucky","2017","1010963"
"Louisiana","2017","1107942"
"Maine","2017","252859"
"Maryland","2017","1345241"
"Massachusetts","2017","1374363"
"Michigan","2017","2181394"
"Minnesota","2017","1300061"
"Mississippi","2017","714850"
"Missouri","2017","1383946"
"Montana","2017","229481"
"Nebraska","2017","476177"
"Nevada","2017","682282"
"New Hampshire","2017","260503"
"New Jersey","2017","1964487"
"New Mexico","2017","489049"
"New York","2017","4114612"
"North Carolina","2017","2302931"
"North Dakota","2017","176649"
"Ohio","2017","2609137"
"Oklahoma","2017","959142"
"Oregon","2017","872913"
"Pennsylvania","2017","2665549"
"Puerto Rico","2017","651536"
"Rhode Island","2017","206942"
"South Carolina","2017","1104965"
"South Dakota","2017","216108"
"Tennessee","2017","1507817"
"Texas","2017","7365787"
"Utah","2017","928062"
"Vermont","2017","117146"
"Virginia","2017","1872961"
"Washington","2017","1651656"
"West Virginia","2017","369641"
"Wisconsin","2017","1283936"
"Wyoming","2017","136349"
