"State","Year","Child Population in Poverty (%)"
"Alabama","2018","23.8"
"Alaska","2018","14.1"
"Arizona","2018","20.1"
"Arkansas","2018","24.7"
"California","2018","17.4"
"Colorado","2018","11.9"
"Connecticut","2018","14.1"
"Delaware","2018","18.7"
"District of Columbia","2018","23.1"
"Florida","2018","19.7"
"Georgia","2018","20.5"
"Hawaii","2018","11.9"
"Idaho","2018","14.3"
"Illinois","2018","16.2"
"Indiana","2018","18"
"Iowa","2018","13.5"
"Kansas","2018","14.9"
"Kentucky","2018","23"
"Louisiana","2018","26.2"
"Maine","2018","14.5"
"Maryland","2018","11.6"
"Massachusetts","2018","12.2"
"Michigan","2018","19.4"
"Minnesota","2018","11.7"
"Mississippi","2018","27.8"
"Missouri","2018","18.3"
"Montana","2018","16"
"Nebraska","2018","12.9"
"Nevada","2018","17.7"
"New Hampshire","2018","10.6"
"New Jersey","2018","13.7"
"New Mexico","2018","26.3"
"New York","2018","18.6"
"North Carolina","2018","20.2"
"North Dakota","2018","9.9"
"Ohio","2018","19.5"
"Oklahoma","2018","21.7"
"Oregon","2018","15.7"
"Pennsylvania","2018","16.8"
"Puerto Rico","2018","56.9"
"Rhode Island","2018","18"
"South Carolina","2018","22.6"
"South Dakota","2018","16.4"
"Tennessee","2018","22.3"
"Texas","2018","21.1"
"Utah","2018","9.5"
"Vermont","2018","12.1"
"Virginia","2018","13.7"
"Washington","2018","12.5"
"West Virginia","2018","24.5"
"Wisconsin","2018","14"
"Wyoming","2018","13.8"
