"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2019","32.1","67.9","0","2421"
"Alaska","2019","41.6","58.4","0","1410"
"Arizona","2019","40.3","57.6","2.2","5030"
"Arkansas","2019","18.6","81.3","0.1","1621"
"California","2019","42.6","57.4","0","25477"
"Colorado","2019","27.6","57","15.4","2115"
"Connecticut","2019","43.3","56.7","0","2158"
"Delaware","2019","28.6","71.4","0","343"
"District of Columbia","2019","35.3","64.7","0","380"
"Florida","2019","43.3","56.7","0","8662"
"Georgia","2019","39","61","0","6783"
"Hawaii","2019","57.9","42.1","0","684"
"Idaho","2019","44.5","55.5","0","584"
"Illinois","2019","34.8","65.1","0","10576"
"Indiana","2019","50.3","49.7","0","8726"
"Iowa","2019","40.8","59.2","0","1744"
"Kansas","2019","41.2","58.8","0","3889"
"Kentucky","2019","42.7","57.3","0","3913"
"Louisiana","2019","34","66","0","1654"
"Maine","2019","51.1","48.9","0","654"
"Maryland","2019","45.7","53.3","1","1920"
"Massachusetts","2019","30","70","0","5685"
"Michigan","2019","48.2","51.8","0","5649"
"Minnesota","2019","38.2","61.8","0","3553"
"Mississippi","2019","45.5","54.5","0","2462"
"Missouri","2019","33.1","66.9","0","5440"
"Montana","2019","46.7","53.3","0","1854"
"Nebraska","2019","44.3","55.7","0","1588"
"Nevada","2019","30.7","69.1","0.2","1990"
"New Hampshire","2019","50.8","49.2","0","549"
"New Jersey","2019","51.2","48.8","0","2719"
"New Mexico","2019","31.4","68.6","0","1464"
"New York","2019","47.3","52.7","0","8904"
"North Carolina","2019","45.6","54.4","0","4833"
"North Dakota","2019","32.6","67.4","0","705"
"Ohio","2019","44","56","0","5292"
"Oklahoma","2019","33.1","66.9","0","3665"
"Oregon","2019","43","57","0","3861"
"Pennsylvania","2019","47.3","52.7","0","7920"
"Puerto Rico","2019","28.6","71.4","0","1326"
"Rhode Island","2019","48.5","51.5","0","788"
"South Carolina","2019","28.7","71.3","0","1868"
"South Dakota","2019","34","66","0","699"
"Tennessee","2019","35.2","64.7","0.1","2699"
"Texas","2019","21.7","78.3","0","10580"
"Utah","2019","19.6","80","0.4","720"
"Vermont","2019","33","67","0","533"
"Virginia","2019","37.6","62.4","0","2259"
"Washington","2019","39.7","60.3","0","6652"
"West Virginia","2019","46.1","53.9","0","2050"
"Wisconsin","2019","51.8","48.2","0","3420"
"Wyoming","2019","50","50","0","296"
