"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2019","78.1","20.6","1.3","4788"
"Alaska","2019","78.2","21.8","0.1","1710"
"Arizona","2019","83.6","13","3.4","11095"
"Arkansas","2019","76.6","23.4","0","3723"
"California","2019","87.8","12.2","0","32178"
"Colorado","2019","82.9","13.8","3.3","5314"
"Connecticut","2019","83.9","16.1","0","2258"
"Delaware","2019","84.1","15.9","0","352"
"District of Columbia","2019","70.7","29.1","0.2","409"
"Florida","2019","81.7","18.3","0","18977"
"Georgia","2019","83.2","16.5","0.3","7610"
"Hawaii","2019","87.6","8.9","3.5","1415"
"Idaho","2019","83","16.9","0.1","1577"
"Illinois","2019","81.6","18.2","0.2","7056"
"Indiana","2019","89.4","10.5","0.1","11226"
"Iowa","2019","91.1","8.9","0","4527"
"Kansas","2019","73.6","26.1","0.2","4917"
"Kentucky","2019","85","14.9","0","8076"
"Louisiana","2019","80.4","19.4","0.1","3380"
"Maine","2019","87.2","11.1","1.6","1356"
"Maryland","2019","84.6","13.3","2.1","2162"
"Massachusetts","2019","73.2","26.5","0.3","6339"
"Michigan","2019","87.7","12.2","0.2","6495"
"Minnesota","2019","88.2","11.5","0.3","7325"
"Mississippi","2019","84","15.8","0.2","2896"
"Missouri","2019","78.6","21.4","0","7879"
"Montana","2019","87.1","12.9","0.1","2575"
"Nebraska","2019","90.2","9.6","0.2","2492"
"Nevada","2019","81.9","16.6","1.5","3776"
"New Hampshire","2019","85.1","14.9","0","972"
"New Jersey","2019","87.4","12.6","0","3218"
"New Mexico","2019","81.3","18.7","0","1564"
"New York","2019","83","17","0","9459"
"North Carolina","2019","88.5","11.5","0","6322"
"North Dakota","2019","80.7","19.3","0","1171"
"Ohio","2019","89.3","10.5","0.2","14838"
"Oklahoma","2019","80.2","19.6","0.2","5133"
"Oregon","2019","80.9","18.8","0.2","3867"
"Pennsylvania","2019","86.8","13.2","0","10961"
"Puerto Rico","2019","65.7","34.3","0","1150"
"Rhode Island","2019","89.8","10.2","0","1282"
"South Carolina","2019","77.1","22.7","0.2","4779"
"South Dakota","2019","81.6","18.4","0","1377"
"Tennessee","2019","68.6","31.1","0.3","7849"
"Texas","2019","82.8","17.2","0","22755"
"Utah","2019","79.6","18.8","1.6","2510"
"Vermont","2019","75.1","24.9","0","837"
"Virginia","2019","82.3","15.7","1.9","3114"
"Washington","2019","81.1","18.8","0.1","5819"
"West Virginia","2019","90.7","9.3","0","6101"
"Wisconsin","2019","86.4","13.2","0.4","5443"
"Wyoming","2019","90.1","9.9","0","1302"
