"State","Year","Number","Median Length of Stay (months)"
"Alabama","2017","4098","NaN"
"Alaska","2017","1321","NaN"
"Arizona","2017","10057","NaN"
"Arkansas","2017","3778","NaN"
"California","2017","28016","NaN"
"Colorado","2017","5134","NaN"
"Connecticut","2017","2002","NaN"
"Delaware","2017","448","NaN"
"District of Columbia","2017","321","NaN"
"Florida","2017","16799","NaN"
"Georgia","2017","7821","NaN"
"Hawaii","2017","1179","NaN"
"Idaho","2017","1249","NaN"
"Illinois","2017","4843","NaN"
"Indiana","2017","12826","NaN"
"Iowa","2017","4129","NaN"
"Kansas","2017","3997","NaN"
"Kentucky","2017","6009","NaN"
"Louisiana","2017","3527","NaN"
"Maine","2017","820","NaN"
"Maryland","2017","2366","NaN"
"Massachusetts","2017","6103","NaN"
"Michigan","2017","6854","NaN"
"Minnesota","2017","7408","NaN"
"Mississippi","2017","3195","NaN"
"Missouri","2017","6774","NaN"
"Montana","2017","2361","NaN"
"Nebraska","2017","2644","NaN"
"Nevada","2017","3367","NaN"
"New Hampshire","2017","967","NaN"
"New Jersey","2017","3726","NaN"
"New Mexico","2017","1902","NaN"
"New York","2017","9428","NaN"
"North Carolina","2017","5830","NaN"
"North Dakota","2017","1086","NaN"
"Ohio","2017","11845","NaN"
"Oklahoma","2017","5128","NaN"
"Oregon","2017","4157","NaN"
"Pennsylvania","2017","10998","NaN"
"Puerto Rico","2017","NaN","NaN"
"Rhode Island","2017","1263","NaN"
"South Carolina","2017","3686","NaN"
"South Dakota","2017","1184","NaN"
"Tennessee","2017","6679","NaN"
"Texas","2017","19840","NaN"
"Utah","2017","2284","NaN"
"Vermont","2017","756","NaN"
"Virginia","2017","2741","NaN"
"Washington","2017","5922","NaN"
"West Virginia","2017","5020","NaN"
"Wisconsin","2017","5175","NaN"
"Wyoming","2017","1134","NaN"
