"State","Year","Number","Rate per 100,000"
"Alabama","2019","34","3.12"
"Alaska","2019","1","0.55"
"Arizona","2019","33","2.01"
"Arkansas","2019","35","4.99"
"California","2019","153","1.72"
"Colorado","2019","25","1.99"
"Connecticut","2019","4","0.55"
"Delaware","2019","13","6.36"
"District of Columbia","2019","3","2.34"
"Florida","2019","114","2.69"
"Georgia","2019","68","2.71"
"Hawaii","2019","4","1.34"
"Idaho","2019","3","0.67"
"Illinois","2019","106","3.76"
"Indiana","2019","116","7.39"
"Iowa","2019","25","3.43"
"Kansas","2019","16","2.28"
"Kentucky","2019","12","1.19"
"Louisiana","2019","24","2.2"
"Maine","2019","3","1.2"
"Maryland","2019","55","4.11"
"Massachusetts","2019","13","0.96"
"Michigan","2019","63","2.94"
"Minnesota","2019","17","1.3"
"Mississippi","2019","35","5"
"Missouri","2019","46","3.35"
"Montana","2019","2","0.87"
"Nebraska","2019","5","1.05"
"Nevada","2019","20","2.88"
"New Hampshire","2019","2","0.78"
"New Jersey","2019","19","0.98"
"New Mexico","2019","11","2.31"
"New York","2019","69","1.71"
"North Carolina","2019","5","0.22"
"North Dakota","2019","6","3.32"
"Ohio","2019","79","3.06"
"Oklahoma","2019","23","2.41"
"Oregon","2019","23","2.66"
"Pennsylvania","2019","54","2.05"
"Puerto Rico","2019","5","0.87"
"Rhode Island","2019","3","1.47"
"South Carolina","2019","60","5.39"
"South Dakota","2019","9","4.13"
"Tennessee","2019","43","2.85"
"Texas","2019","229","3.09"
"Utah","2019","11","1.18"
"Vermont","2019","1","0.87"
"Virginia","2019","49","2.62"
"Washington","2019","25","1.51"
"West Virginia","2019","17","4.72"
"Wisconsin","2019","34","2.68"
"Wyoming","2019","0","0"
