"State","Year","Number","Median Length of Stay (months)"
"Alabama","2021","5450","13.3"
"Alaska","2021","2794","15.7"
"Arizona","2021","13901","11.9"
"Arkansas","2021","4202","10.4"
"California","2021","49176","16.3"
"Colorado","2021","4603","12.8"
"Connecticut","2021","3873","20"
"Delaware","2021","430","14.8"
"District of Columbia","2021","567","19.3"
"Florida","2021","22949","12.5"
"Georgia","2021","11325","18.2"
"Hawaii","2021","1519","13.1"
"Idaho","2021","1347","12.8"
"Illinois","2021","20333","18.7"
"Indiana","2021","14641","13.8"
"Iowa","2021","4509","12.5"
"Kansas","2021","7112","16.8"
"Kentucky","2021","8547","15.2"
"Louisiana","2021","3494","13"
"Maine","2021","2272","14.9"
"Maryland","2021","3953","19.6"
"Massachusetts","2021","9196","18"
"Michigan","2021","10637","16.6"
"Minnesota","2021","7532","13.4"
"Mississippi","2021","3541","17.1"
"Missouri","2021","12521","13.6"
"Montana","2021","3339","15.4"
"Nebraska","2021","3479","12.5"
"Nevada","2021","4324","13.8"
"New Hampshire","2021","1097","15.5"
"New Jersey","2021","3753","17.3"
"New Mexico","2021","2098","18.9"
"New York","2021","15344","19.5"
"North Carolina","2021","9816","15.1"
"North Dakota","2021","1511","13.9"
"Ohio","2021","15268","12.5"
"Oklahoma","2021","8035","13.7"
"Oregon","2021","5868","16.6"
"Pennsylvania","2021","13968","16.8"
"Puerto Rico","2021","1926","23.3"
"Rhode Island","2021","2105","16.5"
"South Carolina","2021","3993","14.8"
"South Dakota","2021","1616","13.2"
"Tennessee","2021","8373","12.2"
"Texas","2021","29802","12.1"
"Utah","2021","2348","11.3"
"Vermont","2021","1043","15.4"
"Virginia","2021","5235","16.5"
"Washington","2021","9505","20"
"West Virginia","2021","7199","11.2"
"Wisconsin","2021","6970","14.3"
"Wyoming","2021","773","9.9"
