"State","Year","Emotional Abuse (%)","Medical Neglect (%)","Neglect (%)","Physical Abuse (%)","Sexual Abuse (%)","Trafficking (%)","Other (%)","Missing Data (%)"
"Alabama","2021","0.2","0.7","43.5","52.6","18.6","0.1","0","0"
"Alaska","2021","34.1","3.8","81.9","21.3","8.5","0.1","0","0"
"Arizona","2021","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Arkansas","2021","1.5","NaN","74.3","18.6","18.9","0.2","2.2","0"
"California","2021","8.3","0.1","93.2","6.6","7","0.1","0.7","0"
"Colorado","2021","2","1.6","89.5","10.1","10.7","0","0","0.3"
"Connecticut","2021","27.6","2.8","92.7","4.7","7.2","0.1","0","0"
"Delaware","2021","33.2","0.7","24.8","19","19.5","0","11.4","0"
"District of Columbia","2021","NaN","NaN","100.7","12.5","2.4","0.7","0","0"
"Florida","2021","1.3","3.7","61.5","8.2","9.6","NaN","41","0"
"Georgia","2021","24.1","2","66.7","11.6","7.5","0.6","0","0"
"Hawaii","2021","0.3","0.8","20.1","5.9","5.5","2","96.1","0"
"Idaho","2021","NaN","0.3","78.2","19.4","10.2","0.3","0.3","0"
"Illinois","2021","0.2","1.9","90.3","16.4","12.5","NaN","0.1","0"
"Indiana","2021","NaN","NaN","92","6.5","12.2","0.1","0","0"
"Iowa","2021","1","1","105.7","11.1","6.4","0.2","0","0"
"Kansas","2021","14.4","2","46.9","25","22.9","0.4","0","0"
"Kentucky","2021","0.4","1.7","99.6","7.4","5.7","NaN","0","0"
"Louisiana","2021","0.1","NaN","92.4","9.9","5.2","0.1","0.1","0"
"Maine","2021","40.3","NaN","66.4","25.1","7.4","0","0","0"
"Maryland","2021","0.1","NaN","59.8","19.3","33.8","NaN","0","0"
"Massachusetts","2021","NaN","NaN","105","7.3","3.6","1.7","0","0"
"Michigan","2021","0.8","2.1","90.7","15.1","5.6","0.1","0","0"
"Minnesota","2021","2.2","NaN","74.3","11.3","26.4","0.3","0","0"
"Mississippi","2021","17.3","4.5","75.5","15","15","0.1","0.3","0"
"Missouri","2021","13.8","2.6","54.3","30.9","32","0.2","0","0"
"Montana","2021","1.1","0.4","103.9","5.1","3","0","0.1","0"
"Nebraska","2021","1","0","86.8","14.4","9.3","0.5","0","0"
"Nevada","2021","0.2","1.1","90.1","17.7","7.2","NaN","0","0"
"New Hampshire","2021","4.1","3.2","85.8","10.4","8.1","0","0","0"
"New Jersey","2021","0.8","2.1","74.3","11.7","19.3","0.1","0","0"
"New Mexico","2021","31.4","3.5","93.5","12.3","3.8","NaN","0","0"
"New York","2021","0.9","5.4","112.5","7.8","4.1","0","3.3","0"
"North Carolina","2021","4.7","4.5","97.8","5.2","5.4","0","0.6","1"
"North Dakota","2021","21.4","1.6","80.7","7.9","4.7","NaN","0","0"
"Ohio","2021","7","1.8","50.1","48.8","18.6","0.1","0","0"
"Oklahoma","2021","33.2","2.3","76.5","13","5.6","0.1","0","0"
"Oregon","2021","1.8","NaN","46.5","11.7","9.2","0","61.3","0"
"Pennsylvania","2021","1.2","3.2","10.8","46.1","46.6","1","0.3","0"
"Puerto Rico","2021","57.1","12.7","76.5","19.7","3.9","0","1","0"
"Rhode Island","2021","37.4","1.5","63.8","12.1","5.1","0","1.2","0"
"South Carolina","2021","5.6","2.4","63.7","45.4","5.3","0.5","0","0"
"South Dakota","2021","3.9","NaN","95.5","9.7","5.6","0.1","0","0"
"Tennessee","2021","3.9","1.5","22.9","58.2","31.1","1.4","0","0"
"Texas","2021","0.5","1.5","86.1","10.9","11.7","0.1","0","0"
"Utah","2021","40.1","0.5","27.1","42.7","14.5","0.1","1","0"
"Vermont","2021","0.8","2.8","1","80.6","30.4","NaN","0","0"
"Virginia","2021","1.3","2.3","70","25.4","15.2","0.1","0.1","0"
"Washington","2021","NaN","NaN","88","21.9","15.2","0.7","0","0"
"West Virginia","2021","66.9","4.6","44.7","79.9","4.1","0","0","0"
"Wisconsin","2021","1","1.2","69.8","13.3","24.8","1.4","0","0"
"Wyoming","2021","35.8","0.3","80.8","2","5.4","NaN","0.7","0"
