"State","Year","Total Children Under 18"
"Alabama","2020","1124750"
"Alaska","2020","181019"
"Arizona","2020","1615693"
"Arkansas","2020","704793"
"California","2020","8936181"
"Colorado","2020","1260965"
"Connecticut","2020","738511"
"Delaware","2020","208446"
"District of Columbia","2020","126860"
"Florida","2020","4282995"
"Georgia","2020","2534740"
"Hawaii","2020","309553"
"Idaho","2020","462389"
"Illinois","2020","2859985"
"Indiana","2020","1594263"
"Iowa","2020","741640"
"Kansas","2020","711338"
"Kentucky","2020","1020754"
"Louisiana","2020","1096071"
"Maine","2020","254092"
"Maryland","2020","1376810"
"Massachusetts","2020","1385886"
"Michigan","2020","2178387"
"Minnesota","2020","1329576"
"Mississippi","2020","699669"
"Missouri","2020","1390790"
"Montana","2020","234176"
"Nebraska","2020","487195"
"Nevada","2020","700974"
"New Hampshire","2020","258918"
"New Jersey","2020","2047059"
"New Mexico","2020","481889"
"New York","2020","4211897"
"North Carolina","2020","2305587"
"North Dakota","2020","187338"
"Ohio","2020","2625734"
"Oklahoma","2020","961619"
"Oregon","2020","873064"
"Pennsylvania","2020","2700980"
"Puerto Rico","2020","567614"
"Rhode Island","2020","212350"
"South Carolina","2020","1114257"
"South Dakota","2020","220094"
"Tennessee","2020","1540917"
"Texas","2020","7486091"
"Utah","2020","949355"
"Vermont","2020","118351"
"Virginia","2020","1898856"
"Washington","2020","1693011"
"West Virginia","2020","362716"
"Wisconsin","2020","1289310"
"Wyoming","2020","133739"
