"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2017","31.7","68.3","0","2036"
"Alaska","2017","42.3","57.7","0","1436"
"Arizona","2017","44.7","52.7","2.6","6241"
"Arkansas","2017","23.6","76.4","0","1512"
"California","2017","42.4","57.6","0","25527"
"Colorado","2017","26.5","59.1","14.3","1896"
"Connecticut","2017","39.5","60.5","0","1938"
"Delaware","2017","31.8","68.2","0","299"
"District of Columbia","2017","42.2","57.8","0","481"
"Florida","2017","41.5","58.5","0","7258"
"Georgia","2017","36.8","63.2","0","5438"
"Hawaii","2017","53.3","46.7","0","599"
"Idaho","2017","40.9","59.1","0","457"
"Illinois","2017","30.4","69.6","0","10477"
"Indiana","2017","49.7","50.3","0","7475"
"Iowa","2017","37.2","62.8","0","1502"
"Kansas","2017","41.1","58.9","0","3486"
"Kentucky","2017","43.5","56.5","0","3699"
"Louisiana","2017","36.5","63.5","0","1755"
"Maine","2017","52.6","47.4","0","840"
"Maryland","2017","44.7","54.9","0.4","1925"
"Massachusetts","2017","33.9","66.1","0","5437"
"Michigan","2017","46.6","53.4","0","4891"
"Minnesota","2017","37.3","62.7","0","2970"
"Mississippi","2017","42.6","57.4","0","2198"
"Missouri","2017","32.6","67.4","0","5112"
"Montana","2017","44.9","55.1","0","1397"
"Nebraska","2017","43.1","56.9","0","1498"
"Nevada","2017","29.1","70.8","0.2","1795"
"New Hampshire","2017","47.8","52.2","0","370"
"New Jersey","2017","53.1","46.9","0","3182"
"New Mexico","2017","28.7","71.3","0","1397"
"New York","2017","47.8","52.2","0","10139"
"North Carolina","2017","45","55","0","4292"
"North Dakota","2017","27.4","72.6","0","632"
"Ohio","2017","44.9","55.1","0","4887"
"Oklahoma","2017","28.7","71.3","0","4637"
"Oregon","2017","41.3","58.7","0","3575"
"Pennsylvania","2017","44.1","55.9","0","7220"
"Puerto Rico","2017","NaN","NaN","NaN","NaN"
"Rhode Island","2017","49.6","50.4","0","677"
"South Carolina","2017","33.5","66.5","0","1680"
"South Dakota","2017","31.8","68.2","0","547"
"Tennessee","2017","35","65","0","2269"
"Texas","2017","21.7","78.3","0","10248"
"Utah","2017","15.5","84.4","0.1","762"
"Vermont","2017","36.6","63.4","0","609"
"Virginia","2017","40.5","59.5","0","2300"
"Washington","2017","39.6","60.4","0","6062"
"West Virginia","2017","42.2","57.8","0","1612"
"Wisconsin","2017","49.5","50.5","0","3194"
"Wyoming","2017","47.6","52.4","0","313"
