"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2018","80","20","0","5"
"Alaska","2018","100","0","0","1"
"Arizona","2018","84.6","0","15.4","13"
"Arkansas","2018","85.7","0","14.3","7"
"California","2018","90.9","6.1","3","33"
"Colorado","2018","66.7","0","33.3","3"
"Connecticut","2018","25","75","0","4"
"Delaware","2018","0","0","0","0"
"District of Columbia","2018","0","0","0","0"
"Florida","2018","100","0","0","17"
"Georgia","2018","100","0","0","7"
"Hawaii","2018","100","0","0","1"
"Idaho","2018","0","0","0","0"
"Illinois","2018","85.7","0","14.3","14"
"Indiana","2018","90.9","9.1","0","22"
"Iowa","2018","100","0","0","1"
"Kansas","2018","0","0","0","0"
"Kentucky","2018","100","0","0","7"
"Louisiana","2018","100","0","0","3"
"Maine","2018","0","0","0","0"
"Maryland","2018","56.5","4.3","39.1","23"
"Massachusetts","2018","80","20","0","10"
"Michigan","2018","100","0","0","5"
"Minnesota","2018","90","0","10","10"
"Mississippi","2018","80","20","0","10"
"Missouri","2018","100","0","0","4"
"Montana","2018","100","0","0","4"
"Nebraska","2018","100","0","0","1"
"Nevada","2018","77.8","0","22.2","9"
"New Hampshire","2018","0","0","0","0"
"New Jersey","2018","100","0","0","6"
"New Mexico","2018","100","0","0","7"
"New York","2018","48.4","51.6","0","31"
"North Carolina","2018","29.4","70.6","0","17"
"North Dakota","2018","100","0","0","1"
"Ohio","2018","100","0","0","5"
"Oklahoma","2018","100","0","0","7"
"Oregon","2018","66.7","33.3","0","3"
"Pennsylvania","2018","100","0","0","11"
"Puerto Rico","2018","66.7","33.3","0","6"
"Rhode Island","2018","100","0","0","1"
"South Carolina","2018","0","0","0","0"
"South Dakota","2018","100","0","0","2"
"Tennessee","2018","100","0","0","1"
"Texas","2018","89.3","10.7","0","28"
"Utah","2018","100","0","0","5"
"Vermont","2018","100","0","0","1"
"Virginia","2018","89.7","2.6","7.7","39"
"Washington","2018","100","0","0","2"
"West Virginia","2018","100","0","0","5"
"Wisconsin","2018","100","0","0","6"
"Wyoming","2018","0","0","0","0"
