"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2021","63.6","9.1","27.3","11"
"Alaska","2021","50","50","0","2"
"Arizona","2021","90.5","4.8","4.8","21"
"Arkansas","2021","84.6","0","15.4","13"
"California","2021","94.1","4.9","1","102"
"Colorado","2021","91.7","0","8.3","12"
"Connecticut","2021","100","0","0","3"
"Delaware","2021","100","0","0","2"
"District of Columbia","2021","100","0","0","4"
"Florida","2021","96.9","3.1","0","65"
"Georgia","2021","100","0","0","19"
"Hawaii","2021","100","0","0","5"
"Idaho","2021","0","100","0","2"
"Illinois","2021","77.9","1.4","20.7","140"
"Indiana","2021","93.5","6.5","0","46"
"Iowa","2021","100","0","0","5"
"Kansas","2021","100","0","0","13"
"Kentucky","2021","100","0","0","37"
"Louisiana","2021","100","0","0","18"
"Maine","2021","75","0","25","8"
"Maryland","2021","58.6","3.4","37.9","29"
"Massachusetts","2021","66.7","33.3","0","15"
"Michigan","2021","100","0","0","9"
"Minnesota","2021","100","0","0","24"
"Mississippi","2021","91.7","8.3","0","24"
"Missouri","2021","90.6","9.4","0","32"
"Montana","2021","100","0","0","8"
"Nebraska","2021","100","0","0","13"
"Nevada","2021","0","0","100","2"
"New Hampshire","2021","100","0","0","2"
"New Jersey","2021","100","0","0","15"
"New Mexico","2021","100","0","0","1"
"New York","2021","80.8","19.2","0","52"
"North Carolina","2021","92.6","7.4","0","27"
"North Dakota","2021","100","0","0","2"
"Ohio","2021","100","0","0","33"
"Oklahoma","2021","100","0","0","15"
"Oregon","2021","100","0","0","12"
"Pennsylvania","2021","100","0","0","29"
"Puerto Rico","2021","45.5","54.5","0","11"
"Rhode Island","2021","100","0","0","3"
"South Carolina","2021","100","0","0","9"
"South Dakota","2021","100","0","0","9"
"Tennessee","2021","75","25","0","12"
"Texas","2021","89.1","10.9","0","46"
"Utah","2021","88.2","0","11.8","17"
"Vermont","2021","100","0","0","1"
"Virginia","2021","58.3","16.7","25","12"
"Washington","2021","100","0","0","16"
"West Virginia","2021","100","0","0","25"
"Wisconsin","2021","88.9","11.1","0","9"
"Wyoming","2021","0","0","0","0"
