"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2020","58.6","41.3","0.1","2446"
"Alaska","2020","60.5","39.5","0","1216"
"Arizona","2020","69.2","29.7","1.1","6721"
"Arkansas","2020","55","45","0","2007"
"California","2020","73.2","26.8","0","20751"
"Colorado","2020","58.7","31.5","9.8","2286"
"Connecticut","2020","74","26","0","1757"
"Delaware","2020","67.6","32.4","0","222"
"District of Columbia","2020","55.6","44.4","0","279"
"Florida","2020","65.9","34.1","0","11415"
"Georgia","2020","65.7","34.3","0","4935"
"Hawaii","2020","77.7","22.3","0","802"
"Idaho","2020","63.9","36.1","0","783"
"Illinois","2020","65.4","34.5","0.1","6310"
"Indiana","2020","72.9","27.1","0","6339"
"Iowa","2020","76.7","23.3","0","3231"
"Kansas","2020","59.7","40.2","0.1","3300"
"Kentucky","2020","64.4","35.6","0","3728"
"Louisiana","2020","55.2","44.8","0","1800"
"Maine","2020","75.7","24.3","0","1049"
"Maryland","2020","NaN","NaN","NaN","NaN"
"Massachusetts","2020","53.3","46.7","0","3546"
"Michigan","2020","75.5","24.5","0","5186"
"Minnesota","2020","69.5","30.5","0","3710"
"Mississippi","2020","66","33.8","0.2","1505"
"Missouri","2020","61.5","38.5","0","5945"
"Montana","2020","70.5","29.5","0","1380"
"Nebraska","2020","73.7","26.2","0.1","1638"
"Nevada","2020","61.2","38.6","0.2","2053"
"New Hampshire","2020","66.9","33.1","0","496"
"New Jersey","2020","75.8","24.2","0","1759"
"New Mexico","2020","52.5","47.5","0","775"
"New York","2020","70.2","29.8","0","5568"
"North Carolina","2020","71.9","28.1","0","4422"
"North Dakota","2020","53.7","46.3","0","557"
"Ohio","2020","71.7","28.3","0","7471"
"Oklahoma","2020","63.5","36.5","0","4240"
"Oregon","2020","66.6","33.4","0","2531"
"Pennsylvania","2020","72.2","27.8","0","6317"
"Puerto Rico","2020","48","52","0","733"
"Rhode Island","2020","76.5","23.5","0","979"
"South Carolina","2020","50.4","49.5","0.1","1675"
"South Dakota","2020","59.3","40.7","0","765"
"Tennessee","2020","50.2","49.8","0","4205"
"Texas","2020","55.6","44.4","0","16631"
"Utah","2020","58.1","40.9","1","1384"
"Vermont","2020","59.3","40.7","0","499"
"Virginia","2020","65.2","34.7","0","2218"
"Washington","2020","65.1","34.8","0","3836"
"West Virginia","2020","74.5","25.5","0","3966"
"Wisconsin","2020","72.2","27.7","0.1","3105"
"Wyoming","2020","66.4","33.6","0","393"
